Alarm Name;OID;Minimum Threshold;Maximum Threshold;Hierarchy;Alarm Probable Cause;Alarm Type;Alarm Handle Measures
a-poiOverallAlarm; .1.3.6.1.4.1.15921.60.1.2.100;NA;NA;Major; The alarm will occur while any sub-alarm occur in A-POI module.;Device Alarm;"1. Check the  alarm source to find the root cause
2. Clear the related alarm to clear the overall alarm"
a-poiDlInputShutdownAlarm; .1.3.6.1.4.1.15921.60.1.2.101;NA;>51dBm ;Critic; The detected channel power >51dBm.;Environmental Alarm;"1. Please check the RIU input power
2. Add the suitable attenuator on the input port of RIU"
a-poiFanFault; .1.3.6.1.4.1.15921.60.1.2.102;NA;NA;Minor; The alarm will occur while any one of FANs fail.;Device Alarm;"1. Check the connection of the FAN
2. Replace the related FAN module"
a-poiLowInputPower; .1.3.6.1.4.1.15921.60.1.2.103;<38VDC / <100VAC;NA;Critic; The alarm will occur while DC input power<38V or AC  input power<100V.;Environmental Alarm;"1. Check the power socket connection
2. Change the PSU module for AC supply
3. Change the RIU "
a-poiOverTemperature; .1.3.6.1.4.1.15921.60.1.2.104;NA;>80°C;Critic; The detected temperature greater than overtemperature threshold.;Environmental Alarm;"1. Check if there is FAN alarm
2. Check the environment temperature, need to guarantee the environment temperature no more than 45 degree
3. Check the mechanical of the device, make sure there is no dust in the device
4. Keeps some clearance (20cm) of the device"
a-poiDlInputOverloadAlarm; .1.3.6.1.4.1.15921.60.1.2.105;NA;>49dBm high power(configurable);Critic; The detected channel power >49dBm(High Power);Environmental Alarm;"1. Please check the RIU input power
2. Add the suitable attenuator on the input port of RIU"
a-poiDlRfLowPower; .1.3.6.1.4.1.15921.60.1.2.106;<17dBm low power(configurable);NA;Major; The detected channel power <17dBm(Low Power);Environmental Alarm;"1. Please check the input  power
2. Adjust the suitable attenuator on the input port of RIU
3. Check the RF input connection of RIU
4. Change the RIU"
euOverallAlarm; .1.3.6.1.4.1.15921.60.1.2.200;NA;NA;Major; The alarm will occur while any sub-alarm occur in the unit.;Device Alarm;"1. Check the  alarm source to find the root cause
2. Clear the related alarm to clear the overall alarm"
euInputUnderVoltage; .1.3.6.1.4.1.15921.60.1.2.202;<38VDC / <100VAC;NA;Critic; The alarm will occur while DC input power<38V or AC  input power<100V.;Environmental Alarm;"1. Check the input power voltage range
2. Check the connection of the power socket
3. Replace the module"
euPowerSupplyOverTemperature; .1.3.6.1.4.1.15921.60.1.2.203;NA;>80°C(configurable);Critic; The alarm will occur while power supply in high temperature.;Environmental Alarm;"1. Check if there is FAN alarm
2. Check the environment temperature, need to guarantee the environment temperature no more than 45 degree
3. Check the mechanical of the device, make sure there is no dust in the device
4. Keeps some clearance (20cm) of the device"
euFanFault; .1.3.6.1.4.1.15921.60.1.2.204;NA;NA;Minor; The alarm will occur while any one of FANs(totally 4) fail.;Device Alarm;"1. Check the connection of the FAN
2. Replace the related FAN module"
euOverTemperature; .1.3.6.1.4.1.15921.60.1.2.205;NA;>80°C(configurable);Critic; The detected temperature greater than overtemperature threshold.;Environmental Alarm;"1. Check if there is FAN alarm
2. Check the environment temperature, need to guarantee the environment temperature no more than 45 degree
3. Check the mechanical of the device, make sure there is no dust in the device
4. Keeps some clearance (20cm) of the device"
euCpriLinkTxFault; .1.3.6.1.4.1.15921.60.1.2.206;<-3dBm;>5dBm;Major;"Indicates one of the following SFP problems :TX/RX levels, Temperature,
TX/RX fault, TX/RX disable, absence (removing the SFP from the cage) . ";Link Alarm;"1. Check if a fiber optic cable is disconnected, make sure the connection is stable
2. Check if SFP problem- try to replace with another SFP
3. Clean fiber optic cable/connector"
euCpriLinkRxFault; .1.3.6.1.4.1.15921.60.1.2.207;<-10dBm;NA;Major;" Indicates one of the following SFP problems :TX/RX levels, Temperature,
TX/RX fault, TX/RX disable, absence (removing the SFP from the cage) . ";Link Alarm;"1. Check if a fiber optic cable is disconnected, make sure the connection is stable
2. Check if SFP problem- try to replace with another SFP
3. Clean fiber optic cable/connector"
euCpriSyncFault; .1.3.6.1.4.1.15921.60.1.2.208;NA;NA;Major; Indicates the SFP Synthesizer failure .;Link Alarm;"1. Check if a fiber optic cable is disconnected 
2. Check if SFP problem- try to replace with another SFP
3. Clean fiber optic cable/connector
4. Check if the pair of SFPs are in same type
5. Check the software version and its release note for the limitation"
euCpriLinkFault; .1.3.6.1.4.1.15921.60.1.2.209;NA;NA;Major; Indicates the SFP link failure.;Link Alarm;"1. Check if the fiber optic cable is disconnected 
2. Check if the Sync fault
2. Check if SFP problem - try to replace with another SFP
3. Clean fiber optic cable/connector
4. Check if the pair of SFPs are in same type
5. Reboot the device"
euCpriOverTemperature; .1.3.6.1.4.1.15921.60.1.2.210;NA;>80°C(configurable);Critic; Indicates the SFP is in high temperature.;Environmental Alarm;"1. Check if the device has the over temperature alarm, and deal with OverallAlarm 
2. Check the SFP install  
3. Change the SFP "
euHardwareFault; .1.3.6.1.4.1.15921.60.1.2.213;NA;NA;Critic; The alarm will occur while the hardware is fail;Device Alarm;"1. Check if any other alarms are occurred
2. Reboot the device
3. Change the device if hardware is fail"
euVersionMismatch; .1.3.6.1.4.1.15921.60.1.2.214;NA;NA;Minor; Module version not match to system version.;Application Alarm;"1. Please check the device version and system version
2. Please check the release note for the version match"
ruOverallAlarm; .1.3.6.1.4.1.15921.60.1.2.300;NA;NA;Major; The alarm will occur while any sub-alarm occur in the unit.;Device Alarm;"1. Check the  alarm source to find the root cause
2. Clear the related alarm to clear the overall alarm"
ruHardwareFault; .1.3.6.1.4.1.15921.60.1.2.301;NA;NA;Critic; The alarm will occur while the hardware is fail.;Device Alarm;"1. Check if any other alarms are occurred
2. Reboot the device
3. Change the device if hardware is fail"
ruOverTemperature; .1.3.6.1.4.1.15921.60.1.2.302;NA;>80°C(configurable);Critic; The alarm will occur while the temperature of RU is higher then threshold.;Environmental Alarm;"1. Check if there is FAN alarm(dMRU)
2. Check the environment temperature, need to guarantee the environment temperature no more than 45 degree
3. Check the mechanical of the device, make sure there is no dust in the device
4. Keeps some clearance (20cm) of the device"
ruUnderVoltage; .1.3.6.1.4.1.15921.60.1.2.303;<38VDC / <100VAC;NA;Critic; The alarm will occur while DC input power<38V or AC  input power<100V.;Environmental Alarm;"1. Verify input power level
2. Check the connections of the power socket
3. Replace the device"
