Node;Name;OID;MIB;Syntax;Access;Status;Descr;UMS WEB Parameter;Remarks;
alarm;trapSequenceID; .1.3.6.1.4.1.15921.60.1.1.1; MAX-PRO-ALARM-MIB; INTEGER; read-only; current; Trap Sequence ID.;;??????????UMS?????;
;trapTimeStamp; .1.3.6.1.4.1.15921.60.1.1.2; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Absolute Time (Time Stamp).;Device Alarm Time;????????UMS???;
;trapDeviceType; .1.3.6.1.4.1.15921.60.1.1.3; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Device Type.;;??????????RU/EU/ACU/AU?;
;trapDeviceSerial; .1.3.6.1.4.1.15921.60.1.1.4; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Device Serial Number (Unique).;;????????????;
;trapRemoteIndex; .1.3.6.1.4.1.15921.60.1.1.5; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Remote Index.;;????????????;
;trapCtrlSerialNum; .1.3.6.1.4.1.15921.60.1.1.6; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Control Unit Serial Number (Unique).;;???????????;
;trapCtrlName; .1.3.6.1.4.1.15921.60.1.1.7; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Control Unit Name.;Fault Location;??????siteinfo;
;trapModuleName; .1.3.6.1.4.1.15921.60.1.1.8; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Module Name.;;?????????;
;trapSeverity; .1.3.6.1.4.1.15921.60.1.1.9; MAX-PRO-ALARM-MIB; INTEGER {notification(0),minor(1),major(2),critical(3)}; read-only; current; Event's Severity.;Alarm Level;????;
;trapChannel; .1.3.6.1.4.1.15921.60.1.1.10; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Addition data for specific event(seeModule Trap Description).;;?????;
;trapChannelDescription; .1.3.6.1.4.1.15921.60.1.1.11; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current; Description of Addition data forspecificevent (see Module Trap Description).;;???????;
;trapBandID; .1.3.6.1.4.1.15921.60.1.1.12; MAX-PRO-ALARM-MIB;" INTEGER {band-WCS(24),band-2500T(25),band-N3500F(44),
band-N3500G(45),band-1900B(47),band-EAWS-A(48),band-N/A(0)}"; read-only; current; Description of band information for the trap even;;??????ACU????????;
;trapSetOrClear; .1.3.6.1.4.1.15921.60.1.1.13; MAX-PRO-ALARM-MIB; INTEGER {clearTrap(0),setTrap(1)}; read-only; current; 0=ClearTrap, 1=SetTrap;;1???, 0????, ????0-1??;
;trapProbableCause; .1.3.6.1.4.1.15921.60.1.1.14; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current;Alarm Probable Cause;Probable Cause;????;????????
;trapHandleMeasures; .1.3.6.1.4.1.15921.60.1.1.15; MAX-PRO-ALARM-MIB; DISPLAYSTRING; read-only; current;Alarm Handle Measures;Handle Measures;???????????;????????
;;;;;;;;Alarm Name;???????;
;;;;;;;;Alarm Instance;????OID5+11+10??;
;;;;;;;;Specific Problem;????;
;;;;;;;;Alarm Type;???????????;
;;;;;;;;Additional Text;????;
;;;;;;;;Additional Information;????;
;;;;;;;;Alarm Number;???????ID;
;;;;;;;;Alarm Sequence;?????;
;;;;;;;;Device Alarm Squence;?????;
;;;;;;;;Device AlarmID;?OID???????;
;;;;;;;;Status;???????????;
;;;;;;;;Alarm Classification;??????????????;
;;;;;;;;NE Status;????????????????;
;;;;;;;;Alarm Syschronization Time;???????;
;;;;;;;;NE IP;??;
;;;;;;;;Sub Device Name;??;????????
;;;;;;;;Alarm Source SN;??;
;;;;;;;;Sub Device Status;??;
;;;;;;;;Integrated Manufacturer;??;
;;;;;;;;Region;?????????;
;;;;;;;;Site;?????????;
;;;;;;;;Sbunet;?????????;
;;;;;;;;Device Type;???Repeater;?????
;;;;;;;;Device Sub Type;??????ComflexMax????Active DAS?;?????
;;;;;;;;Network Model;???5GNR(5G);
;;;;;;;;Manufacturer;??????Comba????Vendor?;
;;;;;;;;Project Status;????????;
;;;;;;;;Ack User;??????;
;;;;;;;;Ack User;??????;
;;;;;;;;Re Ack User;????????;
;;;;;;;;Re Ack User;????????;
;;;;;;;;North Forward;??????;
